locality_symbol,valid_votes,Right,Center_Left,Haredi,Arab,Other,total_main_blocks,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,Other_raw_pct,election_locality_name,target_election,year
7,371,201.0,125.0,35.0,0.0,10.0,361.0,55.67867036011081,34.62603878116344,9.695290858725762,0.0,2.6954177897574128,שחר,Knesset_21,2019
10,235,148.0,10.0,76.0,0.0,1.0,234.0,63.24786324786324,4.273504273504273,32.47863247863248,0.0,0.425531914893617,תירוש,Knesset_21,2019
11,288,132.0,142.0,2.0,0.0,12.0,276.0,47.82608695652174,51.449275362318836,0.7246376811594203,0.0,4.166666666666666,"ניר ח""ן",Knesset_21,2019
13,403,76.0,311.0,4.0,0.0,12.0,391.0,19.437340153452684,79.53964194373401,1.0230179028132993,0.0,2.977667493796526,חצבה,Knesset_21,2019
15,215,175.0,6.0,29.0,0.0,5.0,210.0,83.33333333333334,2.857142857142857,13.80952380952381,0.0,2.3255813953488373,נועם,Knesset_21,2019
16,331,18.0,309.0,0.0,0.0,4.0,327.0,5.5045871559633035,94.4954128440367,0.0,0.0,1.2084592145015105,בית ניר,Knesset_21,2019
18,302,100.0,187.0,2.0,0.0,13.0,289.0,34.602076124567475,64.70588235294117,0.6920415224913495,0.0,4.304635761589404,שדה משה,Knesset_21,2019
21,414,159.0,224.0,7.0,2.0,22.0,392.0,40.56122448979592,57.14285714285714,1.7857142857142856,0.5102040816326531,5.314009661835748,באר אורה,Knesset_21,2019
22,102,40.0,60.0,1.0,0.0,1.0,101.0,39.603960396039604,59.4059405940594,0.9900990099009901,0.0,0.9803921568627451,מקווה ישראל,Knesset_21,2019
23,161,128.0,22.0,0.0,0.0,11.0,150.0,85.33333333333334,14.666666666666666,0.0,0.0,6.832298136645963,אמציה,Knesset_21,2019
24,460,47.0,397.0,2.0,1.0,13.0,447.0,10.51454138702461,88.81431767337807,0.44742729306487694,0.22371364653243847,2.8260869565217392,לכיש,Knesset_21,2019
26,1764,625.0,1025.0,20.0,10.0,84.0,1680.0,37.202380952380956,61.011904761904766,1.1904761904761905,0.5952380952380952,4.761904761904762,ראש פינה,Knesset_21,2019
27,195,132.0,18.0,38.0,0.0,7.0,188.0,70.2127659574468,9.574468085106384,20.212765957446805,0.0,3.5897435897435894,שדות מיכה,Knesset_21,2019
28,8065,3416.0,4155.0,145.0,5.0,344.0,7721.0,44.2429737080689,53.814272762595515,1.8779950783577255,0.06475845097785261,4.265344079355239,מזכרת בתיה,Knesset_21,2019
29,893,287.0,573.0,5.0,2.0,26.0,867.0,33.102652825836216,66.08996539792388,0.5767012687427913,0.2306805074971165,2.9115341545352744,יסוד המעלה,Knesset_21,2019
31,13557,7435.0,1122.0,4784.0,3.0,213.0,13344.0,55.71792565947242,8.408273381294965,35.851318944844124,0.02248201438848921,1.5711440584200043,אופקים,Knesset_21,2019
32,324,134.0,16.0,166.0,0.0,8.0,316.0,42.405063291139236,5.063291139240507,52.53164556962025,0.0,2.4691358024691357,עוצם,Knesset_21,2019
33,355,94.0,243.0,3.0,2.0,13.0,342.0,27.485380116959064,71.05263157894737,0.8771929824561403,0.5847953216374269,3.6619718309859155,בת שלמה,Knesset_21,2019
35,246,17.0,221.0,0.0,1.0,7.0,239.0,7.112970711297072,92.46861924686193,0.0,0.41841004184100417,2.8455284552845526,גדות,Knesset_21,2019
36,299,191.0,68.0,37.0,0.0,3.0,296.0,64.52702702702703,22.972972972972975,12.5,0.0,1.0033444816053512,שדה דוד,Knesset_21,2019
37,267,195.0,3.0,67.0,0.0,2.0,265.0,73.58490566037736,1.1320754716981132,25.28301886792453,0.0,0.7490636704119851,איתן,Knesset_21,2019
39,185,140.0,16.0,24.0,0.0,5.0,180.0,77.77777777777779,8.88888888888889,13.333333333333334,0.0,2.7027027027027026,גפן,Knesset_21,2019
41,1976,1302.0,405.0,233.0,0.0,36.0,1940.0,67.11340206185567,20.876288659793815,12.010309278350515,0.0,1.8218623481781375,אליכין,Knesset_21,2019
43,923,276.0,591.0,6.0,1.0,49.0,874.0,31.57894736842105,67.62013729977116,0.6864988558352403,0.11441647597254005,5.308775731310942,מטולה,Knesset_21,2019
44,203,135.0,32.0,28.0,0.0,8.0,195.0,69.23076923076923,16.41025641025641,14.358974358974358,0.0,3.9408866995073892,זוהר,Knesset_21,2019
46,1675,630.0,366.0,628.0,3.0,48.0,1627.0,38.72157344806392,22.49539028887523,38.59864781807007,0.18438844499078058,2.8656716417910446,יבנאל,Knesset_21,2019
47,2474,804.0,1531.0,20.0,6.0,113.0,2361.0,34.05336721728081,64.84540448962304,0.847098686997035,0.25412960609911056,4.567502021018593,כפר תבור,Knesset_21,2019
48,609,368.0,196.0,14.0,0.0,31.0,578.0,63.667820069204154,33.910034602076124,2.422145328719723,0.0,5.0903119868637114,מנחמיה,Knesset_21,2019
49,320,136.0,154.0,1.0,1.0,28.0,292.0,46.57534246575342,52.73972602739726,0.3424657534246575,0.3424657534246575,8.75,אילניה,Knesset_21,2019
52,322,178.0,90.0,47.0,2.0,5.0,317.0,56.15141955835961,28.391167192429023,14.826498422712934,0.6309148264984227,1.5527950310559007,לוזית,Knesset_21,2019
53,3941,1924.0,1756.0,136.0,4.0,121.0,3820.0,50.36649214659686,45.968586387434556,3.56020942408377,0.10471204188481677,3.0702867292565337,עתלית,Knesset_21,2019
55,286,186.0,70.0,13.0,1.0,16.0,270.0,68.88888888888889,25.925925925925924,4.814814814814815,0.3703703703703704,5.594405594405594,נוגה,Knesset_21,2019
57,420,66.0,336.0,1.0,0.0,17.0,403.0,16.377171215880892,83.37468982630273,0.24813895781637718,0.0,4.0476190476190474,כנרת (קבוצה),Knesset_21,2019
58,103,25.0,71.0,0.0,0.0,7.0,96.0,26.041666666666668,73.95833333333334,0.0,0.0,6.796116504854369,מצפה,Knesset_21,2019
59,602,510.0,47.0,31.0,0.0,14.0,588.0,86.73469387755102,7.993197278911565,5.272108843537415,0.0,2.3255813953488373,נחושה,Knesset_21,2019
62,367,30.0,325.0,0.0,0.0,12.0,355.0,8.450704225352112,91.54929577464789,0.0,0.0,3.2697547683923704,דגניה א',Knesset_21,2019
63,379,148.0,212.0,4.0,0.0,15.0,364.0,40.65934065934066,58.24175824175825,1.098901098901099,0.0,3.95778364116095,כנרת (מושבה),Knesset_21,2019
64,629,459.0,94.0,49.0,0.0,27.0,602.0,76.24584717607974,15.614617940199334,8.13953488372093,0.0,4.292527821939586,"יד רמב""ם",Knesset_21,2019
65,933,645.0,122.0,143.0,1.0,22.0,911.0,70.801317233809,13.391877058177826,15.697036223929747,0.10976948408342481,2.3579849946409435,מגדל,Knesset_21,2019
66,649,205.0,416.0,3.0,0.0,25.0,624.0,32.8525641025641,66.66666666666666,0.4807692307692308,0.0,3.8520801232665636,מרחביה (קיבוץ),Knesset_21,2019
67,493,59.0,423.0,0.0,2.0,9.0,484.0,12.190082644628099,87.39669421487604,0.0,0.4132231404958678,1.8255578093306288,אור הנר,Knesset_21,2019
69,247,18.0,224.0,0.0,1.0,4.0,243.0,7.4074074074074066,92.18106995884774,0.0,0.411522633744856,1.6194331983805668,ניר עוז,Knesset_21,2019
70,116381,65801.0,21537.0,26868.0,73.0,2102.0,114279.0,57.57925778139465,18.845982201454337,23.510881264274275,0.06387875287673152,1.8061367405332485,אשדוד,Knesset_21,2019
71,319,201.0,74.0,28.0,0.0,16.0,303.0,66.33663366336634,24.422442244224424,9.24092409240924,0.0,5.015673981191222,אשבול,Knesset_21,2019
72,671,15.0,649.0,0.0,2.0,5.0,666.0,2.2522522522522523,97.44744744744744,0.0,0.3003003003003003,0.7451564828614009,גן שמואל,Knesset_21,2019
74,369,30.0,303.0,1.0,3.0,32.0,337.0,8.902077151335313,89.91097922848664,0.2967359050445104,0.8902077151335311,8.672086720867208,עין הוד,Knesset_21,2019
76,358,36.0,313.0,1.0,0.0,8.0,350.0,10.285714285714285,89.42857142857143,0.2857142857142857,0.0,2.2346368715083798,כפר גלעדי,Knesset_21,2019
77,594,71.0,498.0,4.0,0.0,21.0,573.0,12.390924956369982,86.91099476439791,0.6980802792321117,0.0,3.535353535353535,איילת השחר,Knesset_21,2019
78,220,24.0,190.0,2.0,0.0,4.0,216.0,11.11111111111111,87.96296296296296,0.9259259259259258,0.0,1.8181818181818181,קרית ענבים,Knesset_21,2019
79,424,43.0,362.0,4.0,0.0,15.0,409.0,10.513447432762836,88.50855745721272,0.9779951100244498,0.0,3.5377358490566038,דגניה ב',Knesset_21,2019
80,545,76.0,458.0,0.0,0.0,11.0,534.0,14.232209737827715,85.76779026217228,0.0,0.0,2.0183486238532113,נהלל,Knesset_21,2019
82,488,56.0,416.0,1.0,0.0,15.0,473.0,11.839323467230443,87.9492600422833,0.21141649048625794,0.0,3.0737704918032787,עין חרוד (מאוחד),Knesset_21,2019
84,287,30.0,249.0,1.0,0.0,7.0,280.0,10.714285714285714,88.92857142857142,0.35714285714285715,0.0,2.4390243902439024,תל יוסף,Knesset_21,2019
85,581,84.0,466.0,2.0,1.0,28.0,553.0,15.18987341772152,84.26763110307414,0.3616636528028933,0.18083182640144665,4.819277108433735,כפר יחזקאל,Knesset_21,2019
86,377,15.0,353.0,0.0,0.0,9.0,368.0,4.076086956521739,95.92391304347827,0.0,0.0,2.3872679045092835,גבע,Knesset_21,2019
89,395,32.0,350.0,1.0,1.0,11.0,384.0,8.333333333333332,91.14583333333334,0.26041666666666663,0.26041666666666663,2.7848101265822782,עין חרוד (איחוד),Knesset_21,2019
90,419,86.0,306.0,2.0,1.0,24.0,395.0,21.772151898734176,77.46835443037975,0.5063291139240507,0.25316455696202533,5.727923627684964,חפצי-בה,Knesset_21,2019
