locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי + מסך האוכלוסייה,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,עובדי הוראה ממוצע תלמידים למורה,אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 44-30,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,שיעור פריון כולל,"יחס תלות (ל-1,000 תושבים בלתי תלויים)","מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 9-5,מוסלמים (אחוזים מתוך האוכלוסייה הערבית),ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),ממוצע תלמידים לכיתה בבתי ספר יסודיים,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
1015,מבשרת ציון,2019,Knesset_21,13846,2.8022533583706486,50.18576311487591,45.623421013523554,3.997622232129588,0.1931936394709466,7.1,4.08,80.73,2.78,766,42.52,3699,44.9,12147.89,10.98,7.8,70.1,10.05,18.8,42.0,45.54,2.29,901.1,229,30.1,7.8,93.0,0.5,99.5,24.53,0,1,0,0,0,0
1015,מבשרת ציון,2019,Knesset_22,13539,2.769776202082872,45.29778182923124,48.21482831965968,6.236706168337891,0.2506836827711942,7.1,4.08,80.73,2.78,766,42.52,3699,44.9,12147.89,10.98,7.8,70.1,10.05,18.8,42.0,45.54,2.29,901.1,229,30.1,7.8,93.0,0.5,99.5,24.53,0,1,0,0,0,0
1015,מבשרת ציון,2020,Knesset_23,13559,0.6785161147577254,47.57555506051831,45.53352639786144,6.289448280983144,0.601470260637113,7.3,3.96,83.8,2.79,858,43.9,3862,45.1,13294.045858850975,11.17,7.87,71.34,10.72,17.88,38.12,25.68,2.55,868.0,301,30.5,7.54,,,99.7,24.18,0,1,0,0,0,0
1015,מבשרת ציון,2021,Knesset_24,13331,0.9676693421348735,50.78018482048174,43.62217845780943,5.370398424481139,0.2272382972276927,7.39,3.97,83.13,2.92,978,44.97,3934,45.1,14557.82,10.38,8.26,72.59,11.71,18.02,39.0,49.29,2.72,893.0,293,31.1,7.66,,,99.6,23.8,0,1,0,0,0,0
1015,מבשרת ציון,2022,Knesset_25,14051,1.046188883353498,47.583429228998845,45.79257767548906,6.221231300345225,0.4027617951668585,7.6,4.37,83.75,2.88,1025,45.74,4069,44.8,15201.84,11.12,8.1,77.03,9.91,18.22,38.82,49.04,2.46,904.0,238,31.25,7.7,,,99.6,24.82,0,1,0,0,0,0
1020,אור עקיבא,2019,Knesset_21,9701,1.7214720131945158,75.29893014474513,14.99895112229914,9.660163624921331,0.0419551080344031,27.7,32.05,82.74,3.68,531,14.65,2917,65.7,8315.83,8.39,9.0,69.03,8.48,21.61,42.0,43.16,2.26,837.9,541,30.5,8.7,97.8,0.6,99.4,23.38,0,1,0,0,0,0
1020,אור עקיבא,2019,Knesset_22,9793,2.317982232206678,70.2697052059377,17.217227681371526,12.398076521011918,0.1149905916788626,27.7,32.05,82.74,3.68,531,14.65,2917,65.7,8315.83,8.39,9.0,69.03,8.48,21.61,42.0,43.16,2.26,837.9,541,30.5,8.7,97.8,0.6,99.4,23.38,0,1,0,0,0,0
1020,אור עקיבא,2020,Knesset_23,10237,0.6740255934355769,71.60700236034619,15.892997639653816,12.38198269079465,0.1180173092053501,28.6,30.95,86.55,3.62,548,15.7,3034,64.7,8307.861547191224,8.81,9.14,68.49,10.93,20.69,40.26,43.45,2.66,819.0,739,31.2,8.46,,,99.5,23.53,0,1,0,0,0,0
1020,אור עקיבא,2021,Knesset_24,9621,1.2368776634445484,73.97390023153021,15.123131972216374,10.881919595874551,0.0210482003788676,28.08,28.97,83.91,3.35,587,16.98,3172,64.0,9831.06,9.62,8.87,72.8,9.3,20.83,41.0,43.14,2.55,824.0,702,31.7,8.48,,,99.5,23.93,0,1,0,0,0,0
1020,אור עקיבא,2022,Knesset_25,10879,1.240922878941079,68.41958302308265,19.704020848845868,11.718168279970216,0.1582278481012658,27.9,29.44,88.14,3.44,640,18.42,3329,62.1,10435.64,9.64,8.7,74.23,9.32,20.96,41.35,41.91,2.62,828.0,518,32.52,8.5,,,99.5,24.37,0,1,0,0,0,0
1031,שדרות,2019,Knesset_21,12760,2.8213166144200628,77.37096774193549,13.580645161290322,8.935483870967742,0.1129032258064516,20.0,35.71,78.44,3.06,1257,17.65,2834,57.1,8424.61,10.17,11.6,69.46,19.37,22.41,41.0,29.39,3.16,741.7,1163,30.3,9.5,92.1,0.8,99.2,22.94,0,1,0,0,0,0
1031,שדרות,2019,Knesset_22,12864,5.3638059701492535,68.61343847543947,18.77772301626417,12.493839329719076,0.1149991785772958,20.0,35.71,78.44,3.06,1257,17.65,2834,57.1,8424.61,10.17,11.6,69.46,19.37,22.41,41.0,29.39,3.16,741.7,1163,30.3,9.5,92.1,0.8,99.2,22.94,0,1,0,0,0,0
1031,שדרות,2020,Knesset_23,13414,1.3344267183539589,72.75406120136003,13.660748016622591,13.350963354741216,0.2342274272761616,22.3,33.95,82.89,3.54,1322,18.9,2940,56.5,8760.950649350649,8.8,11.8,68.42,20.95,20.77,37.93,35.06,3.41,771.0,1153,30.2,9.28,,,99.4,23.53,0,1,0,0,0,0
