locality_symbol,previous_election_locality_name,current_election_locality_name,_merge,transition_id,previous_election,current_election
3620,נירן,,left_only,K21_to_K22,Knesset_21,Knesset_22
3785,,משכיות,right_only,K21_to_K22,Knesset_21,Knesset_22
9999,,מעטפות חיצוניות,right_only,K21_to_K22,Knesset_21,Knesset_22
99999,מעטפות חיצוניות,,left_only,K21_to_K22,Knesset_21,Knesset_22
1185,,פלך,right_only,K23_to_K24,Knesset_23,Knesset_24
1278,,באר מילכה,right_only,K23_to_K24,Knesset_23,Knesset_24
3637,מעלה שומרון,,left_only,K23_to_K24,Knesset_23,Knesset_24
3782,,רותם,right_only,K23_to_K24,Knesset_23,Knesset_24
3824,עמיחי,,left_only,K23_to_K24,Knesset_23,Knesset_24
1377,,שבי דרום,right_only,K24_to_K25,Knesset_24,Knesset_25
3720,שערי תקווה,,left_only,K24_to_K25,Knesset_24,Knesset_25
3778,עץ אפרים,,left_only,K24_to_K25,Knesset_24,Knesset_25
3824,,עמיחי,right_only,K24_to_K25,Knesset_24,Knesset_25
3826,,שער שומרון,right_only,K24_to_K25,Knesset_24,Knesset_25
