election_number,target_election,year,ballot_letter,mapped,party_name,bloc,votes,share_of_retained_valid_votes_pct
16,Knesset_16,2003,קנ,False,,Other,31328,1.0469080155900001
16,Knesset_16,2003,צף,False,,Other,20433,0.6828227618280923
16,Knesset_16,2003,רק,False,,Other,11471,0.3833338178892011
16,Knesset_16,2003,נ,False,,Other,6288,0.210130158389617
16,Knesset_16,2003,זנ,False,,Other,5219,0.17440669475753995
16,Knesset_16,2003,פה,False,,Other,1907,0.06372745102560427
16,Knesset_16,2003,צ,False,,Other,1890,0.06315935104268068
16,Knesset_16,2003,ק,False,,Other,1872,0.06255783341370277
16,Knesset_16,2003,קך,False,,Other,1481,0.04949153380646036
16,Knesset_16,2003,ט,False,,Other,1176,0.039299151759890204
16,Knesset_16,2003,קץ,False,,Other,1129,0.037728522395336764
16,Knesset_16,2003,ז,False,,Other,827,0.027636393286929593
16,Knesset_16,2003,ף,False,,Other,783,0.02616601686053914
16,Knesset_16,2003,זך,False,,Other,0,0.0
16,Knesset_16,2003,מחל,True,Likud,Right,872239,29.148174176781357
16,Knesset_16,2003,אמת,True,Labor–Meimad,Center_Left,434070,14.50559762280233
16,Knesset_16,2003,יש,True,Shinui,Center_Left,359227,12.00452073915823
16,Knesset_16,2003,שס,True,Shas,Haredi,250638,8.375731971764761
16,Knesset_16,2003,ל,True,National Union,Right,165428,5.528214351475439
16,Knesset_16,2003,מרצ,True,Meretz,Center_Left,153939,5.1442790159572604
16,Knesset_16,2003,ג,True,United Torah Judaism,Haredi,132772,4.436927701925291
16,Knesset_16,2003,ב,True,National Religious Party,Right,124581,4.1632037630942875
16,Knesset_16,2003,ו,True,Hadash,Arab,93122,3.1119180358711693
16,Knesset_16,2003,ם,True,One Nation,Center_Left,84210,2.814099974234995
16,Knesset_16,2003,ד,True,Balad,Arab,70799,2.3659359230003965
16,Knesset_16,2003,כן,True,Yisrael BaAliyah,Right,66500,2.222273462612839
16,Knesset_16,2003,עם,True,United Arab List,Arab,64962,2.1708771229812815
16,Knesset_16,2003,נץ,True,Herut,Right,34140,1.1408784362947717
17,Knesset_17,2006,רק,False,,Other,41112,1.386261605287702
17,Knesset_17,2006,קנ,False,,Other,31429,1.0597590969202952
17,Knesset_17,2006,פ,False,,Other,17283,0.5827680318200854
17,Knesset_17,2006,זה,False,,Other,13181,0.4444520874512843
17,Knesset_17,2006,קז,False,,Other,3686,0.12428877887454925
17,Knesset_17,2006,פץ,False,,Other,1995,0.06726969990632821
17,Knesset_17,2006,ה,False,,Other,1915,0.06457216808051054
17,Knesset_17,2006,פז,False,,Other,1678,0.05658073004652568
17,Knesset_17,2006,ז,False,,Other,1263,0.042587283700096505
17,Knesset_17,2006,כץ,False,,Other,1254,0.04228381136969202
17,Knesset_17,2006,צה,False,,Other,1204,0.04059785397855597
17,Knesset_17,2006,פכ,False,,Other,1082,0.03648411794418402
17,Knesset_17,2006,ף,False,,Other,538,0.018140901528623847
17,Knesset_17,2006,כן,True,Kadima,Center_Left,650696,21.940914611653202
17,Knesset_17,2006,אמת,True,Labor–Meimad,Center_Left,449010,15.140234563879915
17,Knesset_17,2006,שס,True,Shas,Haredi,286452,9.658917332114049
17,Knesset_17,2006,ל,True,Yisrael Beiteinu,Center_Left,267515,9.020377829795184
17,Knesset_17,2006,מחל,True,Likud,Right,264486,8.918242531040162
17,Knesset_17,2006,טב,True,National Union–NRP,Right,206402,6.95969954890524
17,Knesset_17,2006,זך,True,Gil Pensioners,Center_Left,177924,5.999445657209795
17,Knesset_17,2006,ג,True,United Torah Judaism,Haredi,143149,4.826862291674675
17,Knesset_17,2006,מרצ,True,Meretz–Yachad,Center_Left,109474,3.691369988744549
17,Knesset_17,2006,עם,True,United Arab List–Ta'al,Arab,93721,3.1601922530932263
17,Knesset_17,2006,ו,True,Hadash,Arab,85204,2.873006271087112
17,Knesset_17,2006,ד,True,Balad,Arab,71336,2.4053891290816183
17,Knesset_17,2006,כ,True,Jewish National Front,Right,22899,0.772134765992486
17,Knesset_17,2006,חץ,True,Hetz,Center_Left,9339,0.31490312151639055
17,Knesset_17,2006,יש,True,Shinui,Center_Left,4217,0.14219364636841406
17,Knesset_17,2006,ק,True,Da'am,Arab,3504,0.11815189397081406
17,Knesset_17,2006,נץ,True,Herut,Right,2063,0.06956260195827323
17,Knesset_17,2006,קפ,True,Arab National Party,Arab,663,0.02235579500646396
18,Knesset_18,2009,ה,False,,Other,25501,0.7996302403907812
18,Knesset_18,2009,קנ,False,,Other,10606,0.33257042192794894
18,Knesset_18,2009,רק,False,,Other,10535,0.3303440877815333
18,Knesset_18,2009,חי,False,,Other,6356,0.199303941332646
18,Knesset_18,2009,צי,False,,Other,3843,0.12050425527711744
18,Knesset_18,2009,פ,False,,Other,3395,0.10645640038142434
18,Knesset_18,2009,נ,False,,Other,2507,0.07861154514174694
18,Knesset_18,2009,יק,False,,Other,1881,0.0589821764705329
18,Knesset_18,2009,קץ,False,,Other,1805,0.056599058229299254
18,Knesset_18,2009,ץ,False,,Other,1412,0.044275828376604175
18,Knesset_18,2009,קפ,False,,Other,938,0.029412696187857447
18,Knesset_18,2009,פק,False,,Other,847,0.026559225662169783
18,Knesset_18,2009,ים,False,,Other,802,0.025148168808807752
18,Knesset_18,2009,אר,False,,Other,752,0.02358032786062772
18,Knesset_18,2009,נפ,False,,Other,745,0.023360830127882516
18,Knesset_18,2009,פי,False,,Other,628,0.019692082309141233
18,Knesset_18,2009,ינ,False,,Other,615,0.019284443662614423
18,Knesset_18,2009,נר,False,,Other,589,0.018469166369560804
18,Knesset_18,2009,נץ,False,,Other,581,0.018218311817852002
18,Knesset_18,2009,פח,False,,Other,0,0.0
18,Knesset_18,2009,כן,True,Kadima,Center_Left,719029,22.546462182578843
18,Knesset_18,2009,מחל,True,Likud,Right,682649,21.405701108683047
18,Knesset_18,2009,ל,True,Yisrael Beiteinu,Center_Left,370053,11.603684927937326
18,Knesset_18,2009,אמת,True,Labor,Center_Left,314191,9.852030306992665
18,Knesset_18,2009,שס,True,Shas,Haredi,272514,8.54517216304668
18,Knesset_18,2009,ג,True,United Torah Judaism,Haredi,142555,4.470071327356096
18,Knesset_18,2009,עם,True,United Arab List–Ta'al,Arab,112563,3.5296176129997843
18,Knesset_18,2009,ו,True,Hadash,Arab,110391,3.461510602210844
18,Knesset_18,2009,ט,True,National Union,Right,104628,3.280801254523613
18,Knesset_18,2009,מרצ,True,Meretz,Center_Left,93631,2.9359703163808963
18,Knesset_18,2009,ב,True,Jewish Home,Right,90286,2.831081756947652
18,Knesset_18,2009,ד,True,Balad,Arab,82755,2.594933553332775
18,Knesset_18,2009,זך,True,Gil Pensioners,Center_Left,16984,0.5325642132777941
18,Knesset_18,2009,ק,True,Da'am,Arab,2532,0.07939546561583695
19,Knesset_19,2013,קנ,False,,Other,35135,0.9814813314624616
19,Knesset_19,2013,ז,False,,Other,26345,0.7359364074961876
19,Knesset_19,2013,יק,False,,Other,18606,0.519750723016666
19,Knesset_19,2013,רק,False,,Other,7469,0.20864334893106948
19,Knesset_19,2013,זך,False,,Other,5605,0.1565732990706446
19,Knesset_19,2013,הפ,False,,Other,3503,0.0978548200971397
19,Knesset_19,2013,צק,False,,Other,2750,0.07682008428978994
19,Knesset_19,2013,פנ,False,,Other,2645,0.07388695379872523
19,Knesset_19,2013,פץ,False,,Other,2056,0.0574334884726575
19,Knesset_19,2013,פי,False,,Other,1882,0.0525728722303217
19,Knesset_19,2013,פ,False,,Other,1766,0.049332461402097835
19,Knesset_19,2013,נק,False,,Other,1252,0.03497408928393345
19,Knesset_19,2013,ני,False,,Other,965,0.026956865941689927
19,Knesset_19,2013,נ,False,,Other,719,0.020084960219766898
19,Knesset_19,2013,הק,False,,Other,601,0.016788680239332276
19,Knesset_19,2013,הי,False,,Other,431,0.012039802301417987
19,Knesset_19,2013,זה,False,,Other,0,0.0
19,Knesset_19,2013,פך,False,,Other,0,0.0
19,Knesset_19,2013,מחל,True,Likud–Yisrael Beiteinu,Right,833083,23.271820465596754
19,Knesset_19,2013,פה,True,Yesh Atid,Center_Left,508896,14.215794041722523
19,Knesset_19,2013,אמת,True,Labor,Center_Left,408714,11.41725233833353
19,Knesset_19,2013,שס,True,Shas,Haredi,316366,8.837550104154067
19,Knesset_19,2013,טב,True,Jewish Home,Right,313812,8.76620519678093
19,Knesset_19,2013,ג,True,United Torah Judaism,Haredi,190840,5.331034503950368
19,Knesset_19,2013,צפ,True,Hatnua,Center_Left,179936,5.026435886097325
19,Knesset_19,2013,מרץ,True,Meretz,Center_Left,164186,4.586466312437619
19,Knesset_19,2013,עם,True,United Arab List–Ta'al,Arab,136016,3.7995493035491155
19,Knesset_19,2013,ו,True,Hadash,Arab,111595,3.1173590204796757
19,Knesset_19,2013,ד,True,Balad,Arab,95624,2.671215905500681
