election_number,target_election,locality_symbol,locality_name,normalized_name,reason,valid_votes
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,970.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,943.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,900.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,944.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,927.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1046.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1087.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1058.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1046.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1036.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1035.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,936.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1043.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1049.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,930.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1039.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1033.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1027.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1042.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1090.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1021.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1139.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1086.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1057.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,931.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1078.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1026.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,940.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1083.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1042.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,933.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1072.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1031.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,996.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1043.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1020.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1020.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1090.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1067.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1036.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1021.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,941.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1032.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1036.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1047.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1085.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1492.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1025.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1040.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1034.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1195.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1040.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1045.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1021.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1035.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1032.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1035.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1031.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1089.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1043.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1034.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1044.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1023.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1030.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1089.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1082.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,930.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1078.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1029.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1034.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,992.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1038.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1085.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1086.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1088.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1046.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1037.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1094.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1081.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1087.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1037.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1026.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1029.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1026.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1030.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,949.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1048.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1074.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1030.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1040.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1046.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1042.0
16,Knesset_16,0,מעטפות כפולות,מעטפות כפולות,special_envelope,1045.0
