original_name,normalized_name,locality_symbol,match_method,source_rows
אבו ג'ווייעד (שבט,אבו ג ווייעד שבט,967,normalized_unique_name,2
אבו גוש,אבו גוש,472,normalized_unique_name,5
אבו סנאן,אבו סנאן,473,normalized_unique_name,9
אבו קורינאת (שבט),אבו קורינאת שבט,968,normalized_unique_name,3
אבו רובייעה (שבט),אבו רובייעה שבט,966,normalized_unique_name,4
אבו רוקייק (שבט),אבו רוקייק שבט,961,normalized_unique_name,5
אבטין,אבטין,652,normalized_unique_name,2
אבטליון,אבטליון,1275,normalized_unique_name,1
אביאל,אביאל,679,normalized_unique_name,1
אביבים,אביבים,1115,normalized_unique_name,1
אביגדור,אביגדור,819,normalized_unique_name,1
אביחיל,אביחיל,175,normalized_unique_name,1
אביטל,אביטל,2052,normalized_unique_name,1
אביעזר,אביעזר,1070,normalized_unique_name,1
אבירים,אבירים,1220,normalized_unique_name,1
אבן יהודה,אבן יהודה,182,normalized_unique_name,11
אבן מנחם,אבן מנחם,1081,normalized_unique_name,1
אבן ספיר,אבן ספיר,783,normalized_unique_name,1
אבן שמואל,אבן שמואל,400,normalized_unique_name,1
אבני איתן,אבני איתן,4011,normalized_unique_name,1
אבני חפץ,אבני חפץ,3793,normalized_unique_name,1
אבשלום,אבשלום,1311,normalized_unique_name,1
אדורה,אדורה,3759,normalized_unique_name,1
אדירים,אדירים,113,normalized_unique_name,1
אדמית,אדמית,1068,normalized_unique_name,1
אדרת,אדרת,1123,normalized_unique_name,1
אודים,אודים,446,normalized_unique_name,1
אודם,אודם,4010,normalized_unique_name,1
אוהד,אוהד,1046,normalized_unique_name,1
אום אל-פחם,אום אל-פחם,2710,normalized_unique_name,40
אום אל-קוטוף,אום אל-קוטוף,2024,normalized_unique_name,1
אום בטין,אום בטין,1358,normalized_unique_name,1
אומן,אומן,1108,normalized_unique_name,1
אומץ,אומץ,680,normalized_unique_name,1
אופקים,אופקים,31,normalized_unique_name,26
אור הגנוז,אור הגנוז,1294,normalized_unique_name,1
אור הנר,אור הנר,67,normalized_unique_name,1
אור יהודה,אור יהודה,2400,normalized_unique_name,38
אור עקיבא,אור עקיבא,1020,normalized_unique_name,21
אורה,אורה,780,normalized_unique_name,1
