model,feature,feature_type,training_missing_pct,training_unique_non_missing,kept,reason
Ridge — history only,previous_clr_Right,numeric,0.0,449,True,kept
Ridge — history only,previous_clr_Center_Left,numeric,0.0,449,True,kept
Ridge — history only,previous_clr_Haredi,numeric,0.0,449,True,kept
Ridge — history only,previous_clr_Arab,numeric,0.0,449,True,kept
Ridge — history only,previous_turnout_pct,numeric,0.0,449,True,kept
Ridge — history only,previous_log_valid_votes,numeric,0.0,443,True,kept
Ridge — socioeconomic only,locality_type,categorical,0.0,5,True,kept
Ridge — socioeconomic only,"current_feature__demographic__צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",numeric,25.16703786191537,333,True,kept
Ridge — socioeconomic only,"current_feature__demographic__סה""כ  אוכלוסייה בסוף השנה",numeric,12.47216035634744,391,True,kept
Ridge — socioeconomic only,current_feature__demographic__סך כל הישראלים,numeric,57.23830734966593,192,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים,numeric,35.634743875278396,67,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__demographic__יהודים 
(אחוזים מתוך יהודים ואחרים",numeric,33.630289532293986,171,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים,numeric,60.57906458797328,46,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__מוסלמים (אחוזים מתוך האוכלוסייה הערבית,numeric,41.202672605790646,131,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__נוצרים (אחוזים מתוך האוכלוסייה הערבית,numeric,64.81069042316258,120,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__דרוזים (אחוזים מתוך האוכלוסייה הערבית,numeric,73.71937639198218,76,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__demographic__סה""כ גברים בסוף השנה",numeric,12.47216035634744,387,True,kept
Ridge — socioeconomic only,"current_feature__demographic__סה""כ נשים בסוף השנה",numeric,12.47216035634744,388,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,numeric,12.47216035634744,246,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,numeric,12.47216035634744,224,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,numeric,12.47216035634744,223,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,numeric,12.47216035634744,218,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,numeric,12.47216035634744,326,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,numeric,12.47216035634744,322,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,numeric,12.47216035634744,326,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,numeric,12.47216035634744,189,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,numeric,12.47216035634744,304,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,numeric,12.47216035634744,312,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,numeric,12.47216035634744,244,True,kept
Ridge — socioeconomic only,"current_feature__demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",numeric,12.47216035634744,346,True,kept
Ridge — socioeconomic only,current_feature__demographic__לידות חי,numeric,12.47216035634744,317,True,kept
Ridge — socioeconomic only,current_feature__demographic__שיעור פריון כולל,numeric,38.75278396436526,148,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__פטירות תינוקות (ממוצע,numeric,26.057906458797326,50,True,kept
Ridge — socioeconomic only,"current_feature__demographic__שיעור פטירות תינוקות ל-1,000 לידות חי",numeric,89.53229398663697,32,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__פטירות,numeric,12.47216035634744,204,True,kept
Ridge — socioeconomic only,"current_feature__demographic__שיעור פטירות מתוקנן ל-1,000 תושבים",numeric,15.14476614699332,215,True,kept
Ridge — socioeconomic only,"current_feature__demographic__ריבוי טבעי
סה""כ",numeric,12.47216035634744,302,True,kept
Ridge — socioeconomic only,"current_feature__demographic__ריבוי טבעי  ל-1,000 תושבים",numeric,12.47216035634744,355,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,numeric,12.47216035634744,259,True,kept
Ridge — socioeconomic only,current_feature__demographic__אחוז עולי 1990+ מסך האוכלוסייה,numeric,12.47216035634744,167,True,kept
Ridge — socioeconomic only,current_feature__demographic__השתקעות ראשונה של עולים,numeric,36.30289532293987,130,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__אחוז עולים בהשתקעות ראשונה בני 17-0,numeric,35.634743875278396,158,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__אחוז עולים בהשתקעות ראשונה בני 44-18,numeric,33.18485523385301,152,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__אחוז עולים בהשתקעות ראשונה בני 64-45,numeric,32.962138084632514,152,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,numeric,32.962138084632514,134,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__demographic__מאזן הגירה ביישוב
סה""כ",numeric,12.91759465478842,286,True,kept
Ridge — socioeconomic only,current_feature__demographic__מאזן הגירה פנימית,numeric,14.03118040089087,275,True,kept
Ridge — socioeconomic only,"current_feature__demographic__נכנסים מיישובים אחרים סה""כ",numeric,13.585746102449889,322,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים גברים,numeric,14.03118040089087,269,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים נשים,numeric,13.585746102449889,298,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים עד גיל 14,numeric,14.476614699331849,256,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים גיל 29-15,numeric,14.253897550111358,244,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים גיל 64-30,numeric,14.03118040089087,258,True,kept
Ridge — socioeconomic only,current_feature__demographic__נכנסים מיישובים אחרים גיל 65 ומעלה,numeric,40.089086859688194,133,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__demographic__יוצאים ליישובים אחרים סה""כ",numeric,12.47216035634744,327,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים גברים,numeric,13.808463251670378,274,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים נשים,numeric,13.140311804008908,290,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים עד גיל 14,numeric,14.92204899777283,247,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים גיל 29-15,numeric,13.140311804008908,254,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים גיל 64-30,numeric,14.03118040089087,255,True,kept
Ridge — socioeconomic only,current_feature__demographic__יוצאים ליישובים אחרים גיל 65 ומעלה,numeric,39.643652561247215,137,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__demographic__הגירה בתוך הרשות המקומית,numeric,23.385300668151448,278,True,kept
Ridge — socioeconomic only,"current_feature__demographic__נישאים סה""כ גברים ונשים",numeric,12.694877505567929,295,True,kept
Ridge — socioeconomic only,"current_feature__demographic__נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",numeric,12.694877505567929,283,True,kept
Ridge — socioeconomic only,"current_feature__demographic__מתגרשים סה""כ גברים ונשים",numeric,13.140311804008908,184,True,kept
