feature,source_family,transform_type,identity_proxy,original_source_columns,source_years,development_coverage,development_unique_nonmissing,legacy_target_selected_feature,feature_sets,selection_method
history__previous_clr_right,election_history,history,False,,,1.0,9370,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_clr_center_left,election_history,history,False,,,1.0,9373,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_clr_haredi,election_history,history,False,,,1.0,9370,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_clr_arab,election_history,history,True,,,1.0,9365,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__log1p_previous_valid_votes,election_history,history,False,,,1.0,2596,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__year_gap,election_history,history,False,,,1.0,5,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_turnout_pct,election_history,history,False,,,0.8793139953419437,7281,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_other_raw_pct,election_history,history,False,,,1.0,5263,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
history__previous_modeled_vote_coverage_pct,election_history,history,False,,,1.0,5263,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
missing__history__previous_turnout_pct,election_history,missing_indicator,False,,,1.0,2,False,history_only|history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,missingness_indicator_for_selected_feature
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_כלל_השכירים__annualized_change,income,annualized_change,False,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",2003|2006|2009|2013|2015|2019|2020,0.16377302561930976,1257,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_גברים__annualized_change,income,annualized_change,False,"שכר ממוצע לחודש של שכירים (ש""ח) גברים",2003|2006|2009|2013|2015|2019|2020,0.16377302561930976,1261,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_נשים__annualized_change,income,annualized_change,False,"שכר ממוצע לחודש של שכירים (ש""ח) נשים",2003|2006|2009|2013|2015|2019|2020,0.16377302561930976,1248,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_כלל_השכירים__annualized_change,income,annualized_change,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,2003|2006|2009|2013|2015|2019,0.14323523184416684,858,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_גברים__annualized_change,income,annualized_change,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,2003|2006|2009|2013|2015|2019,0.1429176370950667,872,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_נשים__annualized_change,income,annualized_change,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,2003|2006|2009|2013|2015|2019,0.14323523184416684,884,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
