feature,source_family,transform_type,identity_proxy,development_nonmissing_rows,development_coverage,development_unique_nonmissing,development_standard_deviation,development_transitions_with_data,minimum_required_rows,minimum_required_transitions,target_blind_keep
history__previous_clr_right,election_history,history,False,9446,1.0,9370,2.8742151349477427,8,1,1,True
history__previous_clr_center_left,election_history,history,False,9446,1.0,9373,2.7620947253685886,8,1,1,True
history__previous_clr_haredi,election_history,history,False,9446,1.0,9370,4.5227654935991515,8,1,1,True
history__previous_clr_arab,election_history,history,True,9446,1.0,9365,5.8104545963166325,8,1,1,True
history__log1p_previous_valid_votes,election_history,history,False,9446,1.0,2596,1.4290968154320227,8,1,1,True
history__year_gap,election_history,history,False,9446,1.0,5,1.398178254409814,8,1,1,True
history__previous_turnout_pct,election_history,history,False,8306,0.8793139953419437,7281,11.803194377852254,7,1,1,True
history__previous_other_raw_pct,election_history,history,False,9446,1.0,5263,3.5278562927886217,8,1,1,True
history__previous_modeled_vote_coverage_pct,election_history,history,False,9446,1.0,5263,3.5278562927886297,8,1,1,True
demographic__סה_כ_גברים_בסוף_2003_אלפים__level,demographic,level,False,236,0.02498412026254499,124,30.360827423968743,1,150,2,False
demographic__סה_כ_נשים_בסוף_2003_אלפים__level,demographic,level,False,236,0.02498412026254499,127,31.62803789240155,1,150,2,False
demographic__אחוז_גילאי_4_0_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,174,4.795362130861623,1,150,2,False
demographic__אחוז_גילאי_9_5_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,173,3.1966171927116958,1,150,2,False
demographic__אחוז_גילאי_14_10_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,152,2.2171334415862773,1,150,2,False
demographic__אחוז_גילאי_19_15_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,162,1.6217722288530918,1,150,2,False
demographic__אחוז_גילאי_29_20_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,171,2.607231199142943,1,150,2,False
demographic__אחוז_גילאי_44_30_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,181,3.2154632234617893,1,150,2,False
demographic__אחוז_גילאי_59_45_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,190,5.420300874037525,1,150,2,False
demographic__אחוז_גילאי_64_60_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,159,1.2358103515616974,1,150,2,False
demographic__אחוז_גילאי_65_ומעלה_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,183,4.811733254565396,1,150,2,False
demographic__אחוז_גילאי_17_0_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,199,9.640742863622878,1,150,2,False
demographic__אחוז_גילאי_75_ומעלה_באוכלוסייה_בסוף_2003__level,demographic,level,False,236,0.02498412026254499,163,2.3885779303574224,1,150,2,False
demographic__לידות_חי__level,demographic,level,False,631,0.06680076222739784,450,1844.8331972678322,3,150,2,True
demographic__פטירות__level,demographic,level,False,623,0.06595384289646411,252,475.9090957415471,3,150,2,True
demographic__ריבוי_טבעי_סה_כ__level,demographic,level,False,631,0.06680076222739784,418,1492.1604697254456,3,150,2,True
demographic__ריבוי_טבעי_לאלף_תושבים_2003_2002__level,demographic,level,False,236,0.02498412026254499,194,11.977882380975862,1,150,2,False
demographic__מאזן_הגירה_סה_כ__level,demographic,level,False,236,0.02498412026254499,162,514.2014089664196,1,150,2,False
demographic__אחוז_עולי_1990_מסך_האוכלוסייה__level,demographic,level,False,508,0.053779377514291765,211,10.79433055182204,3,150,2,True
demographic__אחוז_גידול_האוכלוסייה_לעומת_2002__level,demographic,level,False,234,0.02477239042981156,74,2.8655735668046223,1,150,2,False
demographic__פטירת_תינוקות_ממוצע_2003_1999__level,demographic,level,False,155,0.01640906203684099,18,8.555601922506009,1,150,2,False
demographic__השתקעות_ראשונה_של_עולים__level,demographic,level,False,402,0.04255769637941986,173,659.8852546688785,3,150,2,True
demographic__אחוז_גילאי_17_0_של_עולים_בהשתקעות_ראשונה__level,demographic,level,False,85,0.008998517891170866,65,12.534426765581932,1,150,2,False
demographic__אחוז_גילאי_44_18_של_עולים_בהשתקעות_ראשונה__level,demographic,level,False,103,0.010904086385771755,72,16.706767216211407,1,150,2,False
demographic__אחוז_גילאי_64_45_של_עולים_בהשתקעות_ראשונה__level,demographic,level,False,101,0.010692356553038324,69,25.613693429279365,1,150,2,False
