check,passed,value,requirement
all_notebook_02_checks_passed,True,14,14
all_notebook_03_checks_passed,True,13,13
all_expected_socioeconomic_sources_exist,True,37,37
all_source_files_produced_numeric_features,True,3,> 0 per time-varying source file
all_nine_transitions_present,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']"
only_k24_to_k25_is_locked,True,['K24_to_K25'],['K24_to_K25']
no_duplicate_model_rows,True,0,0
no_future_socioeconomic_snapshots,True,0,0
dynamic_socio_features_exist,True,36,> 0
all_feature_sets_are_nonempty,True,"{'history_only': 10, 'history_plus_dynamic_socio': 98, 'history_plus_nonidentity_levels_and_dynamic': 410, 'history_plus_all_socio_sensitivity': 420, 'history_plus_locality_identity_diagnostic': 482}",every set > 0
no_target_or_current_outcome_features_in_manifest,True,[],[]
locality_identifiers_are_not_model_features,True,[],[]
feature_screening_uses_development_rows_only,True,9446,9446
final_test_rows_are_retained_but_not_selected_on,True,1212,> 0
primary_dynamic_set_excludes_static_identity_features,True,"['history__previous_clr_arab', 'unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_מאוחדת__annualized_change']",no locality type or static level features
