family,transition_id,rows,snapshot_coverage,median_snapshot_year,median_snapshot_age_years,timing_violations
demographic,K16_to_K17,1139,0.17647058823529413,2003.0,0.0,0
demographic,K17_to_K18,1140,0.1763157894736842,2006.0,0.0,0
demographic,K18_to_K19,1155,0.17402597402597403,2009.0,0.0,0
demographic,K19_to_K20,1183,0.17328825021132713,2013.0,0.0,0
demographic,K20_to_K21,1193,0.17183570829840739,2015.0,0.0,0
demographic,K21_to_K22,1212,0.16996699669966997,2015.0,3.0,0
demographic,K22_to_K23,1213,0.17147568013190437,2019.0,0.0,0
demographic,K23_to_K24,1211,0.1717588769611891,2020.0,0.0,0
demographic,K24_to_K25,1212,0.1716171617161716,2021.0,0.0,0
income,K16_to_K17,1139,0.19402985074626866,2003.0,0.0,0
income,K17_to_K18,1140,0.193859649122807,2006.0,0.0,0
income,K18_to_K19,1155,0.19134199134199134,2009.0,0.0,0
income,K19_to_K20,1183,0.19103972950126796,2013.0,0.0,0
income,K20_to_K21,1193,0.18943839061190276,2015.0,0.0,0
income,K21_to_K22,1212,0.18729372937293728,2015.0,3.0,0
income,K22_to_K23,1213,0.18713932399010716,2019.0,0.0,0
income,K23_to_K24,1211,0.1874483897605285,2020.0,0.0,0
income,K24_to_K25,1212,0.18729372937293728,2021.0,0.0,0
unemployment,K16_to_K17,1139,0.1957857769973661,2003.0,0.0,0
unemployment,K17_to_K18,1140,0.19649122807017544,2006.0,0.0,0
unemployment,K18_to_K19,1155,0.19393939393939394,2009.0,0.0,0
unemployment,K19_to_K20,1183,0.19357565511411665,2013.0,0.0,0
unemployment,K20_to_K21,1193,0.19195305951383068,2015.0,0.0,0
unemployment,K21_to_K22,1212,0.18976897689768976,2015.0,3.0,0
unemployment,K22_to_K23,1213,0.18961253091508656,2019.0,0.0,0
unemployment,K23_to_K24,1211,0.18992568125516102,2020.0,0.0,0
unemployment,K24_to_K25,1212,0.18976897689768976,2021.0,0.0,0
education,K16_to_K17,1139,0.0,,,0
education,K17_to_K18,1140,0.0,,,0
education,K18_to_K19,1155,0.0,,,0
education,K19_to_K20,1183,0.0,,,0
education,K20_to_K21,1193,0.0,,,0
education,K21_to_K22,1212,0.16584158415841585,2016.0,2.0,0
education,K22_to_K23,1213,0.16570486397361914,2019.0,0.0,0
education,K23_to_K24,1211,0.16597853014037986,2020.0,0.0,0
education,K24_to_K25,1212,0.16584158415841585,2021.0,0.0,0
