family,source_year,relative_path,exists,size_bytes
demographic,2003,data/raw/Demographic_data/Demographic_2003.xlsx,True,48625
demographic,2006,data/raw/Demographic_data/Demographic_2006.xlsx,True,49636
demographic,2009,data/raw/Demographic_data/Demographic_2009.xlsx,True,47682
demographic,2013,data/raw/Demographic_data/Demographic_2013.xlsx,True,50870
demographic,2015,data/raw/Demographic_data/Demographic_2015.xlsx,True,48385
demographic,2019,data/raw/Demographic_data/Demographic_2019.xlsx,True,81004
demographic,2020,data/raw/Demographic_data/Demographic_2020.xlsx,True,88343
demographic,2021,data/raw/Demographic_data/Demographic_2021.xlsx,True,88556
demographic,2022,data/raw/Demographic_data/Demographic_2022.xlsx,True,82389
demographic,2023,data/raw/Demographic_data/Demographic_2023.xlsx,True,81007
income,2003,data/raw/Average_income/ICBS_2003.xlsx,True,47768
income,2006,data/raw/Average_income/ICBS_2006.xlsx,True,35722
income,2009,data/raw/Average_income/ICBS_2009.xlsx,True,36234
income,2013,data/raw/Average_income/ICBS_2013.xlsx,True,35274
income,2015,data/raw/Average_income/ICBS_2015.xlsx,True,35523
income,2019,data/raw/Average_income/ICBS_2019.xlsx,True,39964
income,2020,data/raw/Average_income/ICBS_2020.xlsx,True,18934
income,2021,data/raw/Average_income/ICBS_2021.xlsx,True,41542
income,2022,data/raw/Average_income/ICBS_2022.xlsx,True,41813
income,2023,data/raw/Average_income/ICBS_2023.xlsx,True,39151
unemployment,2003,data/raw/Unemployment_data/Unemployment_2003.xlsx,True,54143
unemployment,2006,data/raw/Unemployment_data/Unemployment_2006.xlsx,True,53559
unemployment,2009,data/raw/Unemployment_data/Unemployment_2009.xlsx,True,54141
unemployment,2013,data/raw/Unemployment_data/Unemployment_2013.xlsx,True,65940
unemployment,2015,data/raw/Unemployment_data/Unemployment_2015.xlsx,True,54538
unemployment,2019,data/raw/Unemployment_data/Unemployment_2019.xlsx,True,57259
unemployment,2020,data/raw/Unemployment_data/Unemployment_2020.xlsx,True,59852
unemployment,2021,data/raw/Unemployment_data/Unemployment_2021.xlsx,True,49110
unemployment,2022,data/raw/Unemployment_data/Unemployment_2022.xlsx,True,59707
unemployment,2023,data/raw/Unemployment_data/Unemployment_2023.xlsx,True,59931
education,2016,data/raw/Education_data/Education_2016.xlsx,True,45075
education,2019,data/raw/Education_data/Education_2019.xlsx,True,61815
education,2020,data/raw/Education_data/Education_2020.xlsx,True,61841
education,2021,data/raw/Education_data/Education_2021.xlsx,True,62011
education,2022,data/raw/Education_data/Education_2022.xlsx,True,62396
education,2023,data/raw/Education_data/Education_2023.xlsx,True,60688
locality_type,,data/raw/Locality_Types.xlsx,True,43954
