family,source_year,relative_path,header_row_zero_based,symbol_column,name_column,raw_rows,matched_locality_rows,unique_localities,duplicate_rows_before_aggregation,retained_numeric_features,header_trial_count
demographic,2003,data/raw/Demographic_data/Demographic_2003.xlsx,0,סמל היישוב,שם יישוב,202,202,202,0,26,13
demographic,2006,data/raw/Demographic_data/Demographic_2006.xlsx,0,סמל היישוב,שם יישוב,197,197,197,0,27,13
demographic,2009,data/raw/Demographic_data/Demographic_2009.xlsx,0,סמל היישוב,שם יישוב,200,200,200,0,27,13
demographic,2013,data/raw/Demographic_data/Demographic_2013.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,27,13
demographic,2015,data/raw/Demographic_data/Demographic_2015.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,27,13
demographic,2019,data/raw/Demographic_data/Demographic_2019.xlsx,0,סמל היישוב,שם יישוב,193,192,192,0,57,13
demographic,2020,data/raw/Demographic_data/Demographic_2020.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,53,13
demographic,2021,data/raw/Demographic_data/Demographic_2021.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,53,13
demographic,2022,data/raw/Demographic_data/Demographic_2022.xlsx,0,סמל היישוב,שם יישוב,202,201,201,0,53,13
demographic,2023,data/raw/Demographic_data/Demographic_2023.xlsx,0,סמל היישוב,שם יישוב,193,192,192,0,57,13
income,2003,data/raw/Average_income/ICBS_2003.xlsx,0,סמל היישוב,שם יישוב,222,222,222,0,13,13
income,2006,data/raw/Average_income/ICBS_2006.xlsx,0,סמל היישוב,שם יישוב,221,221,221,0,13,13
income,2009,data/raw/Average_income/ICBS_2009.xlsx,0,סמל היישוב,שם יישוב,223,223,223,0,13,13
income,2013,data/raw/Average_income/ICBS_2013.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,13,13
income,2015,data/raw/Average_income/ICBS_2015.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,13,13
income,2019,data/raw/Average_income/ICBS_2019.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,13,13
income,2020,data/raw/Average_income/ICBS_2020.xlsx,0,סמל ישוב,שם ישוב,197,197,197,0,3,13
income,2021,data/raw/Average_income/ICBS_2021.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,13,13
income,2022,data/raw/Average_income/ICBS_2022.xlsx,0,סמל היישוב,שם יישוב,226,225,225,0,13,13
income,2023,data/raw/Average_income/ICBS_2023.xlsx,0,סמל היישוב,שם יישוב,200,199,199,0,13,13
unemployment,2003,data/raw/Unemployment_data/Unemployment_2003.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,24,13
unemployment,2006,data/raw/Unemployment_data/Unemployment_2006.xlsx,0,סמל היישוב,שם יישוב,221,221,221,0,23,13
unemployment,2009,data/raw/Unemployment_data/Unemployment_2009.xlsx,0,סמל היישוב,שם יישוב,223,223,223,0,23,13
unemployment,2013,data/raw/Unemployment_data/Unemployment_2013.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,23,13
unemployment,2015,data/raw/Unemployment_data/Unemployment_2015.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,23,13
unemployment,2019,data/raw/Unemployment_data/Unemployment_2019.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,29,13
unemployment,2020,data/raw/Unemployment_data/Unemployment_2020.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,29,13
unemployment,2021,data/raw/Unemployment_data/Unemployment_2021.xlsx,0,סמל היישוב,שם יישוב,224,224,224,0,29,13
unemployment,2022,data/raw/Unemployment_data/Unemployment_2022.xlsx,0,סמל היישוב,שם יישוב,225,224,224,0,29,13
unemployment,2023,data/raw/Unemployment_data/Unemployment_2023.xlsx,0,סמל היישוב,שם יישוב,226,225,225,0,29,13
education,2016,data/raw/Education_data/Education_2016.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,26,13
education,2019,data/raw/Education_data/Education_2019.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,39,13
education,2020,data/raw/Education_data/Education_2020.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,39,13
education,2021,data/raw/Education_data/Education_2021.xlsx,0,סמל היישוב,שם יישוב,201,201,201,0,39,13
education,2022,data/raw/Education_data/Education_2022.xlsx,0,סמל היישוב,שם יישוב,202,201,201,0,39,13
education,2023,data/raw/Education_data/Education_2023.xlsx,0,סמל היישוב,שם יישוב,193,192,192,0,39,13
