election_number,target_election,ballot_letter,party_name,bloc,mapping_note
16,Knesset_16,ד,Balad,Arab,
16,Knesset_16,ו,Hadash,Arab,
16,Knesset_16,עם,United Arab List,Arab,
16,Knesset_16,אמת,Labor–Meimad,Center_Left,
16,Knesset_16,יש,Shinui,Center_Left,
16,Knesset_16,ם,One Nation,Center_Left,
16,Knesset_16,מרצ,Meretz,Center_Left,
16,Knesset_16,ג,United Torah Judaism,Haredi,
16,Knesset_16,שס,Shas,Haredi,
16,Knesset_16,ב,National Religious Party,Right,
16,Knesset_16,כן,Yisrael BaAliyah,Right,
16,Knesset_16,ל,National Union,Right,
16,Knesset_16,מחל,Likud,Right,
16,Knesset_16,נץ,Herut,Right,
17,Knesset_17,ד,Balad,Arab,
17,Knesset_17,ו,Hadash,Arab,
17,Knesset_17,עם,United Arab List–Ta'al,Arab,
17,Knesset_17,ק,Da'am,Arab,
17,Knesset_17,קפ,Arab National Party,Arab,
17,Knesset_17,אמת,Labor–Meimad,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,זך,Gil Pensioners,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,חץ,Hetz,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,יש,Shinui,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,כן,Kadima,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,ל,Yisrael Beiteinu,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,מרצ,Meretz–Yachad,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
17,Knesset_17,ג,United Torah Judaism,Haredi,
17,Knesset_17,שס,Shas,Haredi,
17,Knesset_17,טב,National Union–NRP,Right,
17,Knesset_17,כ,Jewish National Front,Right,
17,Knesset_17,מחל,Likud,Right,
17,Knesset_17,נץ,Herut,Right,
18,Knesset_18,ד,Balad,Arab,
18,Knesset_18,ו,Hadash,Arab,
18,Knesset_18,עם,United Arab List–Ta'al,Arab,
18,Knesset_18,ק,Da'am,Arab,
18,Knesset_18,אמת,Labor,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
18,Knesset_18,זך,Gil Pensioners,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
18,Knesset_18,כן,Kadima,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
18,Knesset_18,ל,Yisrael Beiteinu,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
18,Knesset_18,מרצ,Meretz,Center_Left,Yisrael Beiteinu follows the fixed project mapping policy.
18,Knesset_18,ג,United Torah Judaism,Haredi,
18,Knesset_18,שס,Shas,Haredi,
18,Knesset_18,ב,Jewish Home,Right,
18,Knesset_18,ט,National Union,Right,
18,Knesset_18,מחל,Likud,Right,
