model,alpha,fold,fold_rows,fold_mae
Ridge — history only,0.1,1,90,2.9784258259234213
Ridge — history only,0.1,2,90,3.3812623957044012
Ridge — history only,0.1,3,90,3.310284675489863
Ridge — history only,0.1,4,90,3.491477027166148
Ridge — history only,0.1,5,89,3.1478285248845834
Ridge — history only,1.0,1,90,2.9670648591103
Ridge — history only,1.0,2,90,3.35260460860355
Ridge — history only,1.0,3,90,3.2928029026950503
Ridge — history only,1.0,4,90,3.4755985368103017
Ridge — history only,1.0,5,89,3.1287295216113034
Ridge — history only,10.0,1,90,2.8784445962875242
Ridge — history only,10.0,2,90,3.1353340077752785
Ridge — history only,10.0,3,90,3.1505428298221836
Ridge — history only,10.0,4,90,3.3585961215841733
Ridge — history only,10.0,5,89,2.974617469577561
Ridge — history only,100.0,1,90,2.6156076190258424
Ridge — history only,100.0,2,90,2.6807153541730555
Ridge — history only,100.0,3,90,2.6774832385480916
Ridge — history only,100.0,4,90,3.102255690671397
Ridge — history only,100.0,5,89,2.563876835849726
Ridge — history only,1000.0,1,90,2.3652131665892924
Ridge — history only,1000.0,2,90,2.5792423253085284
Ridge — history only,1000.0,3,90,2.4128523556427304
Ridge — history only,1000.0,4,90,2.920845571664116
Ridge — history only,1000.0,5,89,2.283018603544008
Ridge — socioeconomic only,0.1,1,90,7.283461554836232
Ridge — socioeconomic only,0.1,2,90,14.025085044649229
Ridge — socioeconomic only,0.1,3,90,9.508279093110618
Ridge — socioeconomic only,0.1,4,90,11.404607728253243
Ridge — socioeconomic only,0.1,5,89,12.49678477335505
Ridge — socioeconomic only,1.0,1,90,5.189481935872796
Ridge — socioeconomic only,1.0,2,90,10.264995763211623
Ridge — socioeconomic only,1.0,3,90,6.8010822709576715
Ridge — socioeconomic only,1.0,4,90,7.209629086061278
Ridge — socioeconomic only,1.0,5,89,9.662327996388033
Ridge — socioeconomic only,10.0,1,90,3.5778842937764708
Ridge — socioeconomic only,10.0,2,90,6.746780656336904
Ridge — socioeconomic only,10.0,3,90,4.647530382994498
Ridge — socioeconomic only,10.0,4,90,4.368556369467259
Ridge — socioeconomic only,10.0,5,89,6.403128422186485
Ridge — socioeconomic only,100.0,1,90,2.5107478813759014
Ridge — socioeconomic only,100.0,2,90,3.7051821652517924
Ridge — socioeconomic only,100.0,3,90,2.8972619975634575
Ridge — socioeconomic only,100.0,4,90,2.928767299390047
Ridge — socioeconomic only,100.0,5,89,3.483422320476534
Ridge — socioeconomic only,1000.0,1,90,1.7884936239646751
Ridge — socioeconomic only,1000.0,2,90,2.068507594793453
Ridge — socioeconomic only,1000.0,3,90,1.8773430363156547
Ridge — socioeconomic only,1000.0,4,90,2.176684763612152
Ridge — socioeconomic only,1000.0,5,89,1.957444792184739
Ridge — history + levels,0.1,1,90,3.7774042802494097
Ridge — history + levels,0.1,2,90,6.251752445794332
Ridge — history + levels,0.1,3,90,4.406262220146816
Ridge — history + levels,0.1,4,90,5.971839091370234
Ridge — history + levels,0.1,5,89,6.485299301621038
Ridge — history + levels,1.0,1,90,3.106092424646698
Ridge — history + levels,1.0,2,90,5.482631883247352
Ridge — history + levels,1.0,3,90,3.8298757609571505
Ridge — history + levels,1.0,4,90,4.44190263303697
Ridge — history + levels,1.0,5,89,5.561678924727061
Ridge — history + levels,10.0,1,90,2.608642496845308
Ridge — history + levels,10.0,2,90,4.2306025868430845
Ridge — history + levels,10.0,3,90,3.1460720211350868
Ridge — history + levels,10.0,4,90,3.6194302273356453
Ridge — history + levels,10.0,5,89,4.0645269741581265
Ridge — history + levels,100.0,1,90,2.0426638635921335
Ridge — history + levels,100.0,2,90,2.7054285969094107
Ridge — history + levels,100.0,3,90,2.5974869123725726
Ridge — history + levels,100.0,4,90,2.675377690845233
Ridge — history + levels,100.0,5,89,2.6827849111641986
Ridge — history + levels,1000.0,1,90,1.563341340510062
Ridge — history + levels,1000.0,2,90,1.8792500107760715
Ridge — history + levels,1000.0,3,90,1.9153717045945038
Ridge — history + levels,1000.0,4,90,2.183860786690592
Ridge — history + levels,1000.0,5,89,1.7607655619284495
Ridge — history + levels + change,0.1,1,90,6.413922913257846
Ridge — history + levels + change,0.1,2,90,12.896951179086878
Ridge — history + levels + change,0.1,3,90,7.291554879926866
Ridge — history + levels + change,0.1,4,90,9.68727408781217
Ridge — history + levels + change,0.1,5,89,11.46561806433783
Ridge — history + levels + change,1.0,1,90,4.676922755660621
Ridge — history + levels + change,1.0,2,90,9.826131782700314
Ridge — history + levels + change,1.0,3,90,5.23282446725908
Ridge — history + levels + change,1.0,4,90,6.500737629593441
Ridge — history + levels + change,1.0,5,89,9.281842494598312
Ridge — history + levels + change,10.0,1,90,3.30985776736568
Ridge — history + levels + change,10.0,2,90,5.774759110616303
Ridge — history + levels + change,10.0,3,90,3.83164732108353
Ridge — history + levels + change,10.0,4,90,4.529794778208717
Ridge — history + levels + change,10.0,5,89,6.260450882597637
Ridge — history + levels + change,100.0,1,90,2.338278592274988
Ridge — history + levels + change,100.0,2,90,3.1893690074908148
Ridge — history + levels + change,100.0,3,90,2.7376288969245777
Ridge — history + levels + change,100.0,4,90,2.968479634826964
Ridge — history + levels + change,100.0,5,89,3.4839992611164425
Ridge — history + levels + change,1000.0,1,90,1.6952812201948109
Ridge — history + levels + change,1000.0,2,90,1.9469537919338336
Ridge — history + levels + change,1000.0,3,90,1.9297724849165838
Ridge — history + levels + change,1000.0,4,90,2.1463222040589605
Ridge — history + levels + change,1000.0,5,89,2.0118022166662644
