model,alpha,mean_cv_mae,std_cv_mae
Ridge — history + levels,0.1,5.378511467836367,1.2091711633617683
Ridge — history + levels,1.0,4.484436325323046,1.0591195099898678
Ridge — history + levels,10.0,3.5338548612634497,0.6672306344423029
Ridge — history + levels,100.0,2.54074839497671,0.2813922741948516
Ridge — history + levels,1000.0,1.8605178808999359,0.2270324264763954
Ridge — history + levels + change,0.1,9.551064224884318,2.73066233404514
Ridge — history + levels + change,1.0,7.103691825962353,2.3403485963994783
Ridge — history + levels + change,10.0,4.741301971974373,1.254699810499268
Ridge — history + levels + change,100.0,2.9435510785267573,0.43643179669711396
Ridge — history + levels + change,1000.0,1.9460263835540907,0.16399928520317755
Ridge — history only,0.1,3.2618556898336832,0.2016581071513437
Ridge — history only,1.0,3.2433600857661014,0.19861575627986366
Ridge — history only,10.0,3.099507005009344,0.18403897989237358
Ridge — history only,100.0,2.7279877476536223,0.21472282277370472
Ridge — history only,1000.0,2.512234404549735,0.2527276532267817
Ridge — socioeconomic only,0.1,10.943643638840873,2.6257008911948594
Ridge — socioeconomic only,1.0,7.82550341049828,2.1037108028196907
Ridge — socioeconomic only,10.0,5.148776024952324,1.3651656926759175
Ridge — socioeconomic only,100.0,3.1050763328115467,0.4823822856141993
Ridge — socioeconomic only,1000.0,1.9736947621741348,0.1533310080412214
